inmate_id,sponsor_id
92842,89
128378,179
130382,530
127739,599
130490,662
128879,740
130385,851
131276,65
128411,950
131714,749
131951,59
132236,719
132506,800
132716,50
132818,50
133076,41
125936,1184
121079,167
118661,1334
134927,986
130382,1448
135965,740
133658,1511
130382,1553
120083,401
131150,644
138259,1642
137998,278
139381,992
139666,1532
139999,194
140275,194
140392,1532
139807,557
117278,1768
141313,194
142132,1822
142132,1852
142837,1379
143212,1106
133097,533
140290,557
144532,1642
144133,1145
144895,1831
145117,1532
145633,1981
144901,2143
146275,1532
146470,1831
146851,2272
147034,1532
147241,1532
106031,2305
147565,1532
130382,2374
147841,2062
130382,2530
137137,1532
149476,2533
148360,101
150226,2899
149923,2947
149923,3022
144901,3181
141217,3322
151870,3397
141217,3463
153769,3649
154120,3727
130382,3940
150226,4006
153967,4060
148507,4126
130382,4192
153967,4261
153967,4135
158170,4447
148507,4525
130382,4558
148507,4630
135155,4684
135155,4759
144901,4867
162085,4987
148507,5104
148507,5164
135155,5284
163777,4984
158305,2314
148381,5434
163102,5695
148507,5965
153478,6226
153478,6298
163600,6355
168442,6202
172708,6589
163777,6748
168442,6817
163600,6889
163288,764
148507,7255
148507,7402
163777,7483
167749,7525
175909,7606
148507,7672
163600,7792
173677,7861
148507,7933
177601,7981
175909,7570
148507,8116
176953,8206
148507,8260
163777,8305
163777,8440
163777,8545
163777,8599
184150,755
163777,8752
187120,6955
188182,8890
189184,9037
187180,9091
187180,9250
195562,9388
164752,9466
164752,9757
178516,9835
202816,10009
195562,10162
164752,10249
164752,10402
209602,10627
209602,10801
209602,10885
209602,10948
166027,1382
209602,11083
213928,11146
209602,11224
214195,11290
97483,65
129617,155
129818,245
130382,422
96718,506
130382,647
130382,716
131213,59
129617,428
132482,416
132164,992
133037,992
129617,1217
130832,1247
134189,167
134867,1831
134933,1831
116537,143
133322,602
135662,1379
135923,992
136055,776
136202,341
136553,992
136699,740
137425,194
136577,98
138025,1831
138409,1612
135509,1508
120083,1666
139288,1831
139420,1696
139882,1532
80867,1642
140728,1532
126668,230
142234,194
140164,557
142006,1828
143521,479
87292,1256
144049,155
144331,1106
144448,410
144706,1981
144859,194
144895,479
144457,155
130385,2116
146182,1106
146638,2212
146821,1642
146851,2290
147343,1532
147562,1496
147796,1532
145108,2062
130382,2686
149641,2455
149776,2881
150226,3001
151213,3088
104813,2167
148432,3235
149923,3283
