course_id,title,language,lesson_count,total_page_count,total_page_item_count,content_tags
857,Level 2 Reading Practice - Exit Point ,en-US,12,49,75,"Academic,Adult_Basic_Education,Assessment_Mult_Choice,COURSE,Content_Performance,Course_Length_1,Course_Length_2,Earn,English_Language_Arts,GED,GED_prep,Language_Arts,Learn,Level_Intermediate,Level_Literacy_2,PDF,PDF_Reading,Picture_Media,Reading_Practice,Reading_Writing,Text_Item,Time_Completion_Medium"
747,Eric the Car Guy - Noises ,en-US,9,49,174,"COURSE,Cars,Content_Reference,Course_Length_2,Earn,Engines,Job_Skills,Jobs,Jobs_Finance,Learn,Level_Beginner,Life,Mechanic,Picture_Media,Reentry_Community,Reference,Text_Item,Time_Completion_Medium,Video_Item,Workplace_Skills"
4306,Chapter 3 Sections 3: Rights and Privileges - MT DOC Policy & Procedure,en-US,19,19,38,"Dawson_County_Only,Information,LI_MT_DOC_only,Lewiston_MT_DOC_only,MSP_MT_DOC_only,MWP_MT_DOC_only,PINEHILLS_MT_DOC_ONLY,Resources,Restricted_Visibility,Riverside_MT_DOC_only"
2947,Florida CDL Manual,en-US,13,14,28,"CDL,COURSE,Career_Exploration,Commercial_Driver's_License,Earn,Job_Search,Job_Skills,Jobs,Jobs_Finance,Life,Manual,Manuals,Outcome_Certificate,Reentry_Community,Restricted_Visibility"
2825,Writing Prompts: Fiction,en-US,10,69,149,"Academic,Adult_Basic_Education,Assessment_Essay,COURSE,Content_Performance,Course_Length_2,Earn,Effective_Writing,Family_Community,Job_Skills,Jobs,Jobs_Finance,Language_Arts,Learn,Life,PDF_Reading,Personal_Growth,Picture_Media,Reading_Writing,Reentry_Community,Text_Item,Time_Completion_Low,Writing"
3505,Relaxation,en-US,1,6,22,Restricted_Visibility
4319,Chapter 5 Section 5: Recreation Programs - MT DOC Policy & Procedure,en-US,10,10,20,"Information,LI_MT_DOC_only,Lewiston_MT_DOC_only,MSP_MT_DOC_only,MWP_MT_DOC_only,PINEHILLS_MT_DOC_ONLY,Resources,Restricted_Visibility,Riverside_MT_DOC_only"
1361,Personal Finance,en-US,12,80,196,"Banking,COURSE,Debt,Earn,Investment,Jobs,Jobs_Finance,Learn,Life,My_Money,PDF_Reading,Reentry_Community,Retirement,Text_Item,demo_content"
3942,LCF - Personnel,en-US,9,9,18,"Information,LANSING_KDOC_ONLY,Resources,Restricted_Visibility"
3580,The Sacraments of Christian Initiation - Celebration of the Christian Mystery-Lesson Two,en-US,6,21,81,"CDU,COURSE,Catholic,Christian,Christianity,Earn,Learn,Life,Religion,Religion_Spirituality,Religious,Religious_Study,Spiritual,Spirituality"
4343,Values-Aligned Goal Setting - Part Three - How Do I Pursue My Goals,en-US,13,70,150,"COURSE,Earn,Learn,Personal_Growth,Reentry_Community,Restricted_Visibility"
3956,zzWCF - Human Resources,en-US,1,1,2,"Information,Resources,Restricted_Visibility,WINFIELD_KDOC_ONLY"
4262,"Reflexiones espirituales y catequéticas sobre el Padre Nuestro, Oración Cristiana, Lección 4",en-US,7,24,84,"CDU,Earn,Learn,Religion,Religion_Spirituality,Religious_Study,Spirituality"
