course_id,title,language,lesson_count,total_page_count,total_page_item_count,content_tags
2114,Staying Healthy: Women's Health Pt. 1,en-US,5,28,66,"Abuse-710,Assessment_Mult_Choice-2203,Birth-2902,Cancer-338,Children-563,Content_Performance-2230,Course_Length_1-2263,Earn-995,Health-149,Health_Recovery-2149,Learn-524,Life-872,Menopause-3154,Menstruation-3229,PDF_Reading-2167,Periods-3280,Physical_Health-2458,Picture_Media-2188,Pregnancy-2764,Text_Item-2161,Time_Completion_Low-2311,Wellness-2464,Women-2977"
3580,The Sacraments of Christian Initiation - Celebration of the Christian Mystery-Lesson Two,en-US,6,21,81,"CDU-3575,COURSE-37,Catholic-1355,Christian-1301,Christianity-503,Earn-995,Learn-524,Life-872,Religion-1040,Religion_Spirituality-449,Religious-470,Religious_Study-2596,Spiritual-2158,Spirituality-971"
1361,Personal Finance,en-US,12,80,196,"Banking-2854,COURSE-37,Debt-3067,Earn-995,Investment-3124,Jobs-1127,Jobs_Finance-635,Learn-524,Life-872,My_Money-2443,PDF_Reading-2167,Reentry_Community-2155,Retirement-3127,Text_Item-2161,demo_content-3573"
2947,Florida CDL Manual,en-US,13,14,28,"CDL-1547,COURSE-37,Career_Exploration-413,Commercial_Driver's_License-1232,Earn-995,Job_Search-488,Job_Skills-734,Jobs-1127,Jobs_Finance-635,Life-872,Manual-1286,Manuals-101,Outcome_Certificate-2305,Reentry_Community-2155,Restricted_Visibility-2077"
4343,Values-Aligned Goal Setting - Part Three - How Do I Pursue My Goals,en-US,13,70,150,"COURSE-37,Earn-995,Learn-524,Personal_Growth-2593,Reentry_Community-2155,Restricted_Visibility-2077"
3942,LCF - Personnel,en-US,9,9,18,"Information-2071,LANSING_KDOC_ONLY-3564,Resources-2437,Restricted_Visibility-2077"
4298,Chapter 2 Section 3: Housing - MT DOC Policy & Procedure,en-US,2,2,4,"Information-2071,LI_MT_DOC_only-3557,Lewiston_MT_DOC_only-3603,MSP_MT_DOC_only-3559,MWP_MT_DOC_only-3560,PINEHILLS_MT_DOC_ONLY-3587,Resources-2437,Restricted_Visibility-2077,Riverside_MT_DOC_only-3558"
4144,Facility Handbook (Demo),en-US,1,2,5,"Information-2071,Resources-2437,Restricted_Visibility-2077"
1411,i-Pathways,en-US,1,1,1,"Academic-437,Algebra-422,Earn-995,GED-77,GED_prep-3595,Geometry-983,Language_Arts-143,Learn-524,Math-401,Restricted_Visibility-2077,Science-1043,Social_Studies-1960,Test_Prep-398,i_pathways-3584,no_kdoc-3548"
4163,LCF - Sanitation and Hygiene (z),en-US,8,8,16,"Information-2071,LANSING_KDOC_ONLY-3564,Resources-2437,Restricted_Visibility-2077"
2506,Timpone - PRODUCTION - iPathways,en-US,1,1,1,Edovo_Test_Course-1528
4306,Chapter 3 Sections 3: Rights and Privileges - MT DOC Policy & Procedure,en-US,19,19,38,"Dawson_County_Only-3626,Information-2071,LI_MT_DOC_only-3557,Lewiston_MT_DOC_only-3603,MSP_MT_DOC_only-3559,MWP_MT_DOC_only-3560,PINEHILLS_MT_DOC_ONLY-3587,Resources-2437,Restricted_Visibility-2077,Riverside_MT_DOC_only-3558"
3846,"KJCC - Communication, Mail, and Visiting",en-US,2,2,4,"Information-2071,KJCC_KDOC_ONLY-3547,Resources-2437,Restricted_Visibility-2077"
857,Level 2 Reading Practice - Exit Point ,en-US,12,49,75,"Academic-437,Adult_Basic_Education-1025,Assessment_Mult_Choice-2203,COURSE-37,Content_Performance-2230,Course_Length_1-2263,Course_Length_2-2266,Earn-995,English_Language_Arts-140,GED-77,GED_prep-3595,Language_Arts-143,Learn-524,Level_Intermediate-2257,Level_Literacy_2-2242,PDF-55,PDF_Reading-2167,Picture_Media-2188,Reading_Practice-2422,Reading_Writing-2404,Text_Item-2161,Time_Completion_Medium-2314"
