tag_ID,title,parent_ID,course_type,total_nodes
0,Home page,NA,PAGE,14726
2,Earn,0,PAGE,12410
4,Academic,2,PAGE,5841
5,Jobs & Finance,2,PAGE,640
6,Health & Recovery,2,PAGE,3545
7,Arts & Culture,2,PAGE,1930
8,Reentry,2,PAGE,427
9,Spirituality,2,PAGE,914
10,Math,4,PAGE,2690
11,Social Studies,4,PAGE,371
12,Language Arts,4,PAGE,949
13,Science,4,PAGE,1454
14,Job Skills,5,PAGE,333
15,Careers & Jobs,5,PAGE,187
16,Personal Finance,5,PAGE,138
19,Mental Health,6,PAGE,196
20,Physical Health,6,PAGE,312
21,Recovery,6,PAGE,113
22,Health Information,6,PAGE,3079
23,Writing & Poetry,7,PAGE,96
24,Music,7,PAGE,52
25,Arts,7,PAGE,645
26,Books,7,PAGE,556
29,Personal Growth,8,PAGE,286
30,Family & Community,8,PAGE,51
31,Job Skills,8,PAGE,90
32,Resources,8,PAGE,62
33,Religious Study,9,PAGE,543
34,Sermons & Services,9,PAGE,559
85,Civics & Government,11,PAGE,34
86,U.S. History,11,PAGE,74
87,Geography,11,PAGE,1
88,World History,11,PAGE,55
89,Economics,11,PAGE,216
90,Test Prep,11,PAGE,4
92,Microeconomics,89,PAGE,78
93,Macroeconomics,89,PAGE,119
94,Capital Markets,89,PAGE,40
96,Reading & Writing,12,PAGE,671
98,Test Prep,12,PAGE,41
101,Grammar & Punctuation,96,PAGE,29
102,Effective Writing,96,PAGE,33
141,Certification Prep,14,PAGE,47
142,Interviewing,14,PAGE,51
143,Applications & Resumes,14,PAGE,7
144,Workplace Skills,14,PAGE,49
147,Explore Careers,15,PAGE,91
148,Entrepreneurship,15,PAGE,33
149,Motivation,15,PAGE,61
150,My Money,16,PAGE,20
151,Credit,16,PAGE,7
152,Taxes,16,PAGE,17
153,Investment,16,PAGE,10
154,Therapeutic,19,PAGE,34
155,Meditation,19,PAGE,75
157,Wellness,20,PAGE,16
158,Nutrition,20,PAGE,44
159,Fitness,20,PAGE,239
160,Illness & Injury,20,PAGE,21
164,Health Care,22,PAGE,30
165,Substance Abuse,22,PAGE,132
166,Health Information Library,22,PAGE,2768
167,Health Topics,166,PAGE,422
168,Staying Healthy,166,PAGE,313
169,Reproductive Health,166,PAGE,115
170,Treatment,166,PAGE,551
171,Family Health,166,PAGE,599
172,Illness & Injury,166,PAGE,1485
173,Dental Health,167,PAGE,30
174,Heart Health,167,PAGE,97
