id,user_id,facility_id,created_at,updated_at
341,131,15,2016-01-27 17:47:57,2016-01-27 17:47:57
2184,267,61,2016-08-03 12:48:29,2016-08-03 12:48:29
10510,434,133,2016-11-14 12:16:35,2016-11-14 12:16:35
14251,637,138,2017-03-02 10:32:55,2017-03-02 10:32:55
22619,866,205,2017-07-14 07:18:56.39,2017-07-14 07:18:56.39
28580,1007,15,2017-09-13 15:10:09.083,2017-09-13 15:10:09.083
31294,1108,19,2017-10-20 10:38:02.823,2017-10-20 10:38:02.823
31384,1108,138,2017-10-20 10:38:02.873,2017-10-20 10:38:02.873
31474,1108,280,2017-10-20 10:38:02.917,2017-10-20 10:38:02.917
38590,1234,370,2018-01-09 18:44:33.599,2018-01-09 18:44:33.599
42808,965,208,2018-02-19 11:18:26.102,2018-02-19 11:18:26.102
42898,965,52,2018-02-19 11:18:26.141,2018-02-19 11:18:26.141
42988,965,340,2018-02-19 11:18:26.173,2018-02-19 11:18:26.173
47326,1114,83,2018-03-12 10:31:49.781,2018-03-12 10:31:49.781
51787,1501,382,2018-04-16 07:22:30.746,2018-04-16 07:22:30.746
56809,1579,478,2018-05-01 11:02:35.066,2018-05-01 11:02:35.066
57859,14,123,2018-05-04 14:47:46.77,2018-05-04 14:47:46.77
57949,14,80,2018-05-04 14:47:46.797,2018-05-04 14:47:46.797
61753,1756,454,2018-05-22 15:11:58.562,2018-05-22 15:11:58.562
64600,125,40,2018-06-11 10:53:22.255,2018-06-11 10:53:22.255
64690,125,152,2018-06-11 10:53:22.276,2018-06-11 10:53:22.276
64789,1918,280,2018-06-11 12:22:11.928,2018-06-11 12:22:11.928
64879,1918,57,2018-06-11 12:22:11.955,2018-06-11 12:22:11.955
64969,1918,5,2018-06-11 12:22:11.978,2018-06-11 12:22:11.978
66430,1930,439,2018-06-22 15:36:37.107,2018-06-22 15:36:37.107
67633,2005,439,2018-07-06 07:09:58,2018-07-06 07:09:58
68605,15,33,2018-07-20 10:48:08.152,2018-07-20 10:48:08.152
68695,15,184,2018-07-20 10:48:08.181,2018-07-20 10:48:08.181
68785,32,17,2018-07-20 10:48:40.794,2018-07-20 10:48:40.794
68875,37,21,2018-07-20 10:48:59.308,2018-07-20 10:48:59.308
68965,37,2,2018-07-20 10:48:59.33,2018-07-20 10:48:59.33
69055,111,108,2018-07-20 10:51:39.603,2018-07-20 10:51:39.603
70060,2170,439,2018-08-03 14:11:54.088,2018-08-03 14:11:54.088
75049,256,11,2018-08-27 20:58:10.583,2018-08-27 20:58:10.583
75139,288,227,2018-08-27 20:58:29.985,2018-08-27 20:58:29.985
75229,288,15,2018-08-27 20:58:30.012,2018-08-27 20:58:30.013
75565,401,21,2018-08-27 20:59:11.62,2018-08-27 20:59:11.62
75655,333,7,2018-08-27 21:00:37.808,2018-08-27 21:00:37.808
75745,333,54,2018-08-27 21:00:37.88,2018-08-27 21:00:37.88
75835,204,26,2018-08-27 21:05:13.493,2018-08-27 21:05:13.493
75925,272,96,2018-08-27 21:05:47.556,2018-08-27 21:05:47.556
76015,2293,145,2018-08-28 07:50:02.114,2018-08-28 07:50:02.114
78214,71,42,2018-09-10 13:51:59.641,2018-09-10 13:51:59.641
79336,2371,439,2018-09-14 07:42:34.956,2018-09-14 07:42:34.956
86836,2515,568,2018-10-29 10:02:37.454,2018-10-29 10:02:37.454
93469,2606,556,2018-11-27 06:40:28.546,2018-11-27 06:40:28.546
94479,2647,637,2018-12-04 16:07:46.802,2018-12-04 16:07:46.802
94511,2679,604,2018-12-04 16:07:47.012,2018-12-04 16:07:47.012
95655,23,3,2018-12-13 15:44:12.194,2018-12-13 15:44:12.194
95685,23,49,2018-12-13 15:44:12.242,2018-12-13 15:44:12.242
95747,53,283,2018-12-13 15:51:16.312,2018-12-13 15:51:16.312
95777,53,13,2018-12-13 15:51:16.359,2018-12-13 15:51:16.359
95807,53,86,2018-12-13 15:51:16.415,2018-12-13 15:51:16.415
95837,53,54,2018-12-13 15:51:16.464,2018-12-13 15:51:16.464
96111,968,13,2018-12-13 16:09:44.443,2018-12-13 16:09:44.443
96141,968,52,2018-12-13 16:09:44.49,2018-12-13 16:09:44.49
96273,2621,664,2018-12-13 16:13:28.177,2018-12-13 16:13:28.177
97678,764,511,2018-12-21 13:39:55.399,2018-12-21 13:39:55.399
97708,764,439,2018-12-21 13:39:55.449,2018-12-21 13:39:55.449
97738,764,160,2018-12-21 13:39:55.498,2018-12-21 13:39:55.498
97768,764,547,2018-12-21 13:39:55.547,2018-12-21 13:39:55.547
97798,764,54,2018-12-21 13:39:55.595,2018-12-21 13:39:55.595
98055,33,227,2018-12-26 16:38:22.982,2018-12-26 16:38:22.982
98085,33,184,2018-12-26 16:38:23.03,2018-12-26 16:38:23.03
98487,291,126,2019-01-07 13:24:18.695,2019-01-07 13:24:18.695
98517,291,248,2019-01-07 13:24:18.754,2019-01-07 13:24:18.754
98547,291,54,2019-01-07 13:24:18.802,2019-01-07 13:24:18.802
99941,2762,517,2019-01-14 17:20:33.199,2019-01-14 17:20:33.199
99971,2762,598,2019-01-14 17:20:33.246,2019-01-14 17:20:33.246
100001,2762,208,2019-01-14 17:20:33.295,2019-01-14 17:20:33.295
100031,2762,478,2019-01-14 17:20:33.345,2019-01-14 17:20:33.345
100204,2777,262,2019-01-15 08:29:43.062,2019-01-15 08:29:43.062
100234,2777,7,2019-01-15 08:29:43.112,2019-01-15 08:29:43.112
100264,2777,604,2019-01-15 08:29:43.161,2019-01-15 08:29:43.161
100294,2777,5,2019-01-15 08:29:43.21,2019-01-15 08:29:43.21
100324,2777,163,2019-01-15 08:29:43.259,2019-01-15 08:29:43.259
100473,2598,286,2019-01-15 08:37:23.652,2019-01-15 08:37:23.652
100503,2598,568,2019-01-15 08:37:23.70,2019-01-15 08:37:23.70
100533,2598,607,2019-01-15 08:37:23.747,2019-01-15 08:37:23.747
100563,2598,460,2019-01-15 08:37:23.796,2019-01-15 08:37:23.796
100593,2598,178,2019-01-15 08:37:23.852,2019-01-15 08:37:23.852
100776,2356,505,2019-01-15 08:38:53.609,2019-01-15 08:38:53.609
100806,2356,439,2019-01-15 08:38:53.663,2019-01-15 08:38:53.663
100836,2356,199,2019-01-15 08:38:53.711,2019-01-15 08:38:53.711
100866,2356,316,2019-01-15 08:38:53.758,2019-01-15 08:38:53.758
101286,2827,655,2019-01-15 16:56:35.989,2019-01-15 16:56:35.989
101322,2863,613,2019-01-15 16:56:36.265,2019-01-15 16:56:36.265
101352,2893,613,2019-01-15 16:56:36.493,2019-01-15 16:56:36.493
101383,2924,667,2019-01-15 16:56:36.73,2019-01-15 16:56:36.73
101425,2966,664,2019-01-15 16:56:37.051,2019-01-15 16:56:37.051
101502,3043,667,2019-01-15 17:03:33.735,2019-01-15 17:03:33.735
